Start Date,  End Date,  Start Time,  End Time,  Location,  Subject
2019-09-15, 2019-09-15,  05:20 PM, 06:30 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Fts Hockey 
2019-09-25, 2019-09-25,  08:20 PM, 09:30 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2019-09-29, 2019-09-29,  06:40 PM, 07:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Acme 
2019-10-06, 2019-10-06,  04:00 PM, 05:10 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Lightning 
2019-10-17, 2019-10-17,  09:20 PM, 10:30 PM, Veterans Memorial Park Ice Arena,  Bells Hockey vs Cubs Ac 
2019-10-20, 2019-10-20,  09:20 PM, 10:30 PM, Veterans Memorial Park Ice Arena,  Fts Hockey vs Cubs Ac 
2019-10-27, 2019-10-27,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2019-11-03, 2019-11-03,  05:45 PM, 07:00 PM, Buhr Park Ice Arena,  Cubs Ac vs Acme 
2019-11-10, 2019-11-10,  04:00 PM, 05:10 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Lightning 
2019-11-17, 2019-11-17,  08:00 PM, 09:10 PM, Veterans Memorial Park Ice Arena,  Bells Hockey vs Cubs Ac 
2019-11-24, 2019-11-24,  05:45 PM, 07:00 PM, Buhr Park Ice Arena,  Fts Hockey vs Cubs Ac 
2019-12-01, 2019-12-01,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2019-12-08, 2019-12-08,  06:40 PM, 07:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Acme 
2019-12-12, 2019-12-12,  09:20 PM, 10:30 PM, Veterans Memorial Park Ice Arena,  Lightning vs Cubs Ac 
2019-12-15, 2019-12-15,  07:15 PM, 08:30 PM, Buhr Park Ice Arena,  Cubs Ac vs Fts Hockey 
2019-12-22, 2019-12-22,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Bells Hockey 
2019-12-29, 2019-12-29,  08:00 PM, 09:10 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2020-01-05, 2020-01-05,  05:45 PM, 07:00 PM, Buhr Park Ice Arena,  Acme vs Cubs Ac 
2020-01-08, 2020-01-08,  09:00 PM, 10:10 PM, Buhr Park Ice Arena,  Lightning vs Cubs Ac 
2020-01-12, 2020-01-12,  05:20 PM, 06:30 PM, Veterans Memorial Park Ice Arena,  Fts Hockey vs Cubs Ac 
2020-01-19, 2020-01-19,  06:40 PM, 07:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Bells Hockey 
2020-01-22, 2020-01-22,  08:20 PM, 09:30 PM, Veterans Memorial Park Ice Arena,  Eagles vs Cubs Ac 
2020-01-26, 2020-01-26,  05:45 PM, 07:00 PM, Buhr Park Ice Arena,  Acme vs Cubs Ac 
2020-02-09, 2020-02-09,  02:40 PM, 03:50 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Lightning 
2020-02-16, 2020-02-16,  09:20 PM, 10:30 PM, Veterans Memorial Park Ice Arena,  Cubs Ac vs Bells Hockey 
2020-02-23, 2020-02-23,  05:45 PM, 07:00 PM, Buhr Park Ice Arena,  Cubs Ac vs Fts Hockey 
2020-02-26, 2020-02-26,  09:00 PM, 10:10 PM, Buhr Park Ice Arena,  Eagles vs Cubs Ac
