SUMMARY|DTSTART|DTEND|DUE|NOTES|ATTENDEE|LOCATION|PRIORITY|URL|CALENDAR|UID
"Flames @ Ice Men - Regular Season GAME"|"01/04/2020 10:00 PM"|"01/04/2020 11:20 PM"||"Flames @ Ice Men - Regular Season GAME "|""|"Varsity Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Flames @ Gates - Regular Season GAME"|"01/07/2020 08:00 PM"|"01/07/2020 09:20 PM"||"Flames @ Gates - Regular Season GAME "|""|"Varsity Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Flames @ Yaks - Regular Season GAME"|"01/11/2020 06:30 PM"|"01/11/2020 07:50 PM"||"Flames @ Yaks - Regular Season GAME "|""|"Varsity Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Ashley\\'s Hopslam @ Flames - Regular Season GAME"|"01/14/2020 11:20 PM"|"01/15/2020 12:40 AM"||"Ashley\\'s Hopslam @ Flames - Regular Season GAME "|""|"Stadium Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Cleveland Steamers @ Flames - Regular Season GAME"|"01/18/2020 11:20 PM"|"01/19/2020 12:40 AM"||"Cleveland Steamers @ Flames - Regular Season GAME "|""|"Stadium Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Flames @ Ice Men - Regular Season GAME"|"01/20/2020 10:40 PM"|"01/21/2020 12:00 AM"||"Flames @ Ice Men - Regular Season GAME "|""|"Varsity Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Gates @ Flames - Regular Season GAME"|"01/25/2020 06:30 PM"|"01/25/2020 07:50 PM"||"Gates @ Flames - Regular Season GAME "|""|"Varsity Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Yaks @ Flames - Regular Season GAME"|"01/28/2020 10:50 PM"|"01/29/2020 12:10 AM"||"Yaks @ Flames - Regular Season GAME "|""|"Stadium Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Flames @ Ashley\\'s Hopslam - Regular Season GAME"|"02/01/2020 09:40 PM"|"02/01/2020 11:00 PM"||"Flames @ Ashley\\'s Hopslam - Regular Season GAME "|""|"Varsity Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
"Flames @ Cleveland Steamers - Regular Season GAME"|"02/04/2020 09:00 PM"|"02/04/2020 10:20 PM"||"Flames @ Cleveland Steamers - Regular Season GAME "|""|"Varsity Rink, 2121 Oak Valley Dr, Ann Arbor, MI, 48103"|""|""||
